study,pattern,beta,epsilon_frac,epsilon_scaled,outcome_std,outcome_mean,n_obs,n_treated,n_control,ate_lower,ate_upper,width,width_ratio,coverage,true_ate,naive_ate,naive_bias,n_valid_sites,n_treated_sites,n_control_sites,theta_1_min,theta_1_max,theta_1_range,theta_0_min,theta_0_max,theta_0_range,point_estimate
gainloss,age,0.5,0.05,0.024977495390714383,0.49954990781428765,1.5230273752012882,3105,1507,1598,0.6595966661386492,-0.22504500921857115,-0.8846416753572204,-1.7708774669338827,False,0.2867651053248066,0.30918375906180007,0.022418653736993477,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1851851851851851,1.625,0.4398148148148149,0.31763216593321686
gainloss,age,0.5,0.1,0.04995499078142877,0.49954990781428765,1.5230273752012882,3105,1507,1598,0.6096416753572204,-0.1750900184371424,-0.7847316937943627,-1.5708774669338825,False,0.2867651053248066,0.30918375906180007,0.022418653736993477,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1851851851851851,1.625,0.4398148148148149,0.31763216593321686
gainloss,age,0.5,0.15,0.07493248617214314,0.49954990781428765,1.5230273752012882,3105,1507,1598,0.5596866845757916,-0.12513502765571363,-0.6848217122315052,-1.3708774669338826,False,0.2867651053248066,0.30918375906180007,0.022418653736993477,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1851851851851851,1.625,0.4398148148148149,0.31763216593321686
gainloss,age,0.5,0.2,0.09990998156285753,0.49954990781428765,1.5230273752012882,3105,1507,1598,0.5097316937943629,-0.07518003687428484,-0.5849117306686478,-1.1708774669338828,False,0.2867651053248066,0.30918375906180007,0.022418653736993477,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1851851851851851,1.625,0.4398148148148149,0.31763216593321686
gainloss,age,1.0,0.05,0.024991244747950947,0.49982489495901894,1.515993537964459,3095,1444,1651,0.7357317962183839,-0.23122267549692432,-0.9669544717153082,-1.9345864551116239,False,0.2867651053248066,0.3179396017858731,0.031174496461066514,34,34,34,1.3529411764705883,2.0,0.6470588235294117,1.2142857142857142,1.6341463414634145,0.41986062717770034,0.30369098200569544
gainloss,age,1.0,0.1,0.049982489495901894,0.49982489495901894,1.515993537964459,3095,1444,1651,0.685749306722482,-0.18124018600102243,-0.8669894927235045,-1.734586455111624,False,0.2867651053248066,0.3179396017858731,0.031174496461066514,34,34,34,1.3529411764705883,2.0,0.6470588235294117,1.2142857142857142,1.6341463414634145,0.41986062717770034,0.30369098200569544
gainloss,age,1.0,0.15,0.07497373424385284,0.49982489495901894,1.515993537964459,3095,1444,1651,0.6357668172265801,-0.13125769650512054,-0.7670245137317007,-1.534586455111624,False,0.2867651053248066,0.3179396017858731,0.031174496461066514,34,34,34,1.3529411764705883,2.0,0.6470588235294117,1.2142857142857142,1.6341463414634145,0.41986062717770034,0.30369098200569544
gainloss,age,1.0,0.2,0.09996497899180379,0.49982489495901894,1.515993537964459,3095,1444,1651,0.5857843277306782,-0.08127520700921864,-0.6670595347398969,-1.334586455111624,False,0.2867651053248066,0.3179396017858731,0.031174496461066514,34,34,34,1.3529411764705883,2.0,0.6470588235294117,1.2142857142857142,1.6341463414634145,0.41986062717770034,0.30369098200569544
gainloss,gender,0.25,0.05,0.024977329117811725,0.49954658235623445,1.523029366306028,3235,1587,1648,0.6739510656701007,-0.17385486557390023,-0.8478059312440009,-1.697150898811309,False,0.2867651053248066,0.2782471812848326,-0.008517924039973979,36,36,36,1.3,1.9090909090909092,0.6090909090909091,1.1851851851851851,1.5238095238095237,0.3386243386243386,0.2831450251581733
gainloss,gender,0.25,0.1,0.04995465823562345,0.49954658235623445,1.523029366306028,3235,1587,1648,0.6239964074344772,-0.12390020733827678,-0.7478966147727539,-1.497150898811309,False,0.2867651053248066,0.2782471812848326,-0.008517924039973979,36,36,36,1.3,1.9090909090909092,0.6090909090909091,1.1851851851851851,1.5238095238095237,0.3386243386243386,0.2831450251581733
gainloss,gender,0.25,0.15,0.07493198735343516,0.49954658235623445,1.523029366306028,3235,1587,1648,0.5740417491988538,-0.07394554910265336,-0.6479872983015071,-1.297150898811309,False,0.2867651053248066,0.2782471812848326,-0.008517924039973979,36,36,36,1.3,1.9090909090909092,0.6090909090909091,1.1851851851851851,1.5238095238095237,0.3386243386243386,0.2831450251581733
gainloss,gender,0.25,0.2,0.0999093164712469,0.49954658235623445,1.523029366306028,3235,1587,1648,0.5240870909632303,-0.02399089086702988,-0.5480779818302601,-1.0971508988113088,False,0.2867651053248066,0.2782471812848326,-0.008517924039973979,36,36,36,1.3,1.9090909090909092,0.6090909090909091,1.1851851851851851,1.5238095238095237,0.3386243386243386,0.2831450251581733
