method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
psm,2484.275035765379,39.2158337469195,2407.412001621417,2561.138069909341,1398.0,1394.0,2494.929066733021,-10.65403096764203,10.65403096764203,-0.004270274097047947,True,anchoring4,age,1.0,42,confounded_datasets/anchoring4/age_beta1.0_seed42.csv,27.510776742010567,2792,,,,,,,1398.0,1.0,0.03784322315921862,
naive,2502.76649762459,39.339603023968905,2425.660875697611,2579.872119551569,1318.0,1468.0,2494.929066733021,7.837430891569056,7.837430891569056,0.003141344175300247,True,anchoring4,age,1.5,42,confounded_datasets/anchoring4/age_beta1.5_seed42.csv,27.510776742010567,2786,,,,,,,,,,
ipw,2434.986775336251,47.768468563302356,2341.3605769521782,2528.6129737203237,,,2494.929066733021,-59.94229139677009,59.94229139677009,-0.024025649544923287,True,anchoring4,age,1.5,42,confounded_datasets/anchoring4/age_beta1.5_seed42.csv,27.510776742010567,2786,0.4729702269579992,0.24164527317456305,0.14144398154836713,0.99,2786.0,,,,,
outcome_regression,2477.233020169512,47.276361338164634,2384.5713519467095,2569.894688392315,,,2494.929066733021,-17.696046563508844,17.696046563508844,-0.007092805482714942,True,anchoring4,age,1.5,42,confounded_datasets/anchoring4/age_beta1.5_seed42.csv,27.510776742010567,2786,,,,,2786.0,0.5945511405736497,,,,
aipw,2429.725912629088,50.22722645672621,2331.2805487739042,2528.1712764842714,,,2494.929066733021,-65.20315410393323,65.20315410393323,-0.026134271700683397,True,anchoring4,age,1.5,42,confounded_datasets/anchoring4/age_beta1.5_seed42.csv,27.510776742010567,2786,0.4729702269579992,0.24164527317456305,,,2786.0,,,,,
psm,2431.2268588770867,40.10096965378748,2352.628958355663,2509.82475939851,1318.0,1468.0,2494.929066733021,-63.702207855934375,63.702207855934375,-0.025532672934605344,True,anchoring4,age,1.5,42,confounded_datasets/anchoring4/age_beta1.5_seed42.csv,27.510776742010567,2786,,,,,,,1318.0,1.0,0.04837061023833872,
naive,2511.059499493256,39.3170650612739,2433.9980519731594,2588.120947013353,1270.0,1515.0,2494.929066733021,16.13043276023518,16.13043276023518,0.006465287119908839,True,anchoring4,age,2.0,42,confounded_datasets/anchoring4/age_beta2.0_seed42.csv,27.510776742010567,2785,,,,,,,,,,
ipw,2452.82134089328,77.01387991782546,2301.8741362543424,2603.768545532218,,,2494.929066733021,-42.10772583974085,42.10772583974085,-0.016877323849081895,True,anchoring4,age,2.0,42,confounded_datasets/anchoring4/age_beta2.0_seed42.csv,27.510776742010567,2785,0.4557021699680963,0.27753334324778545,0.08602670575009258,0.99,2785.0,,,,,
outcome_regression,2491.7094180172826,53.03512166110331,2387.76057956152,2595.658256473045,,,2494.929066733021,-3.219648715738458,3.219648715738458,-0.0012904770555078023,True,anchoring4,age,2.0,42,confounded_datasets/anchoring4/age_beta2.0_seed42.csv,27.510776742010567,2785,,,,,2785.0,0.59761024626745,,,,
aipw,2463.2447873394176,81.69758712238853,2303.117516579536,2623.372058099299,,,2494.929066733021,-31.684279393603447,31.684279393603447,-0.012699471025479836,True,anchoring4,age,2.0,42,confounded_datasets/anchoring4/age_beta2.0_seed42.csv,27.510776742010567,2785,0.4557021699680963,0.27753334324778545,,,2785.0,,,,,
